result_id,event_title,edition,edition_id,sport,result_date,result_location,result_participants,result_detail
40000,"Individual, Men",1900 Summer Olympics,2,Golf, 2 October 1900,"Golf de Compiègne, Compiègne",12 from 3 countries,na
925229,"Individual, Handicap, Men",1900 Summer Olympics,2,Golf, 3 October 1900,"Golf de Compiègne, Compiègne",19 from 4 countries,na
40001,"Individual, Women",1900 Summer Olympics,2,Golf, 3 October 1900,"Golf de Compiègne, Compiègne",10 from 3 countries,na
925231,"Individual, Professional, Men",1900 Summer Olympics,2,Golf, 3 October 1900,"Golf de Compiègne, Compiègne",2 from 1 countries,na
926022,"Individual (Second Flight Consolation Championship), Men",1904 Summer Olympics,3,Golf,22 – 25 September 1904,"Glen Echo Country Club, Normandy",16 from 1 countries,na
926041,"Individual (Third Flight Consolation Championship), Men",1904 Summer Olympics,3,Golf,22 – 25 September 1904,"Glen Echo Country Club, Normandy",15 from 2 countries,na
925999,"Driving Contest, Men",1904 Summer Olympics,3,Golf,16 September 1904,"Glen Echo Country Club, Normandy",2 from 1 countries,na
925998,"Individual (International President's Match), Men",1904 Summer Olympics,3,Golf,23 September 1904,"Glen Echo Country Club, Normandy",2 from 2 countries,na
926060,"Individual (Fourth Flight Consolation Championship), Men",1904 Summer Olympics,3,Golf,23 September 1904,"Glen Echo Country Club, Normandy",2 from 2 countries,na
926000,"Putting Contest, Men",1904 Summer Olympics,3,Golf,17 September 1904,"Glen Echo Country Club, Normandy",2 from 1 countries,na
926002,"Individual (Qualifying for Consolation Flights), Men",1904 Summer Olympics,3,Golf,21 September 1904,"Glen Echo Country Club, Normandy",50 from 3 countries,na
40002,"Individual, Men",1904 Summer Olympics,3,Golf,19 – 24 September 1904,"Glen Echo Country Club, Normandy",75 from 3 countries,na
926001,"Team (Nassau Match), Men",1904 Summer Olympics,3,Golf,16 September 1904,"Glen Echo Country Club, Normandy",24 from 1 countries,na
40042,"Team, Men",1904 Summer Olympics,3,Golf,17 September 1904,"Glen Echo Country Club, Normandy",30 from 1 countries,na
926003,"Individual (First Flight Consolation Championship), Men",1904 Summer Olympics,3,Golf,22 – 25 September 1904,"Glen Echo Country Club, Normandy",15 from 2 countries,na
19001127,"Individual, Women",2020 Summer Olympics,61,Golf,4 –  7 August 2021,"Kasumigaseki Country Club, Kawagoe, Saitama, Japan",60 from 35 countries,na
19001120,"Individual, Men",2020 Summer Olympics,61,Golf,29 July –  1 August 2021,"Kasumigaseki Country Club, Kawagoe, Saitama, Japan",60 from 35 countries,na
351030,"Individual, Men",2016 Summer Olympics,59,Golf,11 – 14 August 2016,"Campo Olímpico de Golfe, Reserva de Marapendi, Barra da Tijuca, Rio de Janeiro",60 from 34 countries,Course Length: 6516 m (7128 y)Course Par: 71
351037,"Individual, Women",2016 Summer Olympics,59,Golf,17 – 20 August 2016,"Campo Olímpico de Golfe, Reserva de Marapendi, Barra da Tijuca, Rio de Janeiro",60 from 34 countries,Course Length: 5711 m (6245 y)Course Par: 71
316234,"Lightweight (≤73 kilograms), Men",2012 Summer Olympics,54,Judo,30 July 2012,,34 from 34 countries,na
17130,"Middleweight (≤86 kilograms), Men",1992 Summer Olympics,23,Judo,29 July 1992,"Palau Blaugrana, Barcelona",33 from 33 countries,na
17549,"Half-Heavyweight (≤72 kilograms), Women",1992 Summer Olympics,23,Judo,28 July 1992,"Palau Blaugrana, Barcelona",22 from 22 countries,na
16840,"Extra-Lightweight (≤60 kilograms), Men",1992 Summer Olympics,23,Judo, 2 August 1992,"Palau Blaugrana, Barcelona",43 from 43 countries,na
17253,"Heavyweight (>95 kilograms), Men",1992 Summer Olympics,23,Judo,27 July 1992,"Palau Blaugrana, Barcelona",28 from 28 countries,na
16912,"Half-Lightweight (≤65 kilograms), Men",1992 Summer Olympics,23,Judo, 1 August 1992,"Palau Blaugrana, Barcelona",46 from 46 countries,na
17504,"Middleweight (≤66 kilograms), Women",1992 Summer Olympics,23,Judo,29 July 1992,"Palau Blaugrana, Barcelona",21 from 21 countries,na
17191,"Half-Heavyweight (≤95 kilograms), Men",1992 Summer Olympics,23,Judo,28 July 1992,"Palau Blaugrana, Barcelona",34 from 34 countries,na
17060,"Half-Middleweight (≤78 kilograms), Men",1992 Summer Olympics,23,Judo,30 July 1992,"Palau Blaugrana, Barcelona",42 from 42 countries,na
16988,"Lightweight (≤71 kilograms), Men",1992 Summer Olympics,23,Judo,31 July 1992,"Palau Blaugrana, Barcelona",44 from 44 countries,na
17307,"Extra-Lightweight (≤48 kilograms), Women",1992 Summer Olympics,23,Judo, 2 August 1992,"Palau Blaugrana, Barcelona",22 from 22 countries,na
17595,"Heavyweight (>72 kilograms), Women",1992 Summer Olympics,23,Judo,27 July 1992,"Palau Blaugrana, Barcelona",21 from 21 countries,na
17451,"Half-Middleweight (≤61 kilograms), Women",1992 Summer Olympics,23,Judo,30 July 1992,"Palau Blaugrana, Barcelona",29 from 29 countries,na
17356,"Half-Lightweight (≤52 kilograms), Women",1992 Summer Olympics,23,Judo, 1 August 1992,"Palau Blaugrana, Barcelona",25 from 25 countries,na
17405,"Lightweight (≤56 kilograms), Women",1992 Summer Olympics,23,Judo,31 July 1992,"Palau Blaugrana, Barcelona",23 from 23 countries,na
316468,"Middleweight (≤70 kilograms), Women",2012 Summer Olympics,54,Judo, 1 August 2012,"ExCeL, Newham, London (Hall 2)",22 from 22 countries,na
316636,"Half-Heavyweight (≤100 kilograms), Men",2012 Summer Olympics,54,Judo, 2 August 2012,"ExCeL, Newham, London (Hall 2)",30 from 30 countries,na
316678,"Heavyweight (>100 kilograms), Men",2012 Summer Olympics,54,Judo, 3 August 2012,"ExCeL, Newham, London (Hall 2)",31 from 31 countries,na
316594,"Heavyweight (>78 kilograms), Women",2012 Summer Olympics,54,Judo, 3 August 2012,"ExCeL, Newham, London (Hall 2)",20 from 20 countries,na
316351,"Half-Middleweight (≤63 kilograms), Women",2012 Summer Olympics,54,Judo,31 July 2012,"ExCeL, Newham, London (Hall 2)",24 from 24 countries,na
316309,"Lightweight (≤57 kilograms), Women",2012 Summer Olympics,54,Judo,30 July 2012,"ExCeL, Newham, London (Hall 2)",24 from 24 countries,na
316552,"Half-Heavyweight (≤78 kilograms), Women",2012 Summer Olympics,54,Judo, 2 August 2012,"ExCeL, Newham, London (Hall 2)",21 from 21 countries,na
316075,"Extra-Lightweight (≤48 kilograms), Women",2012 Summer Olympics,54,Judo,28 July 2012,"ExCeL, Newham, London (Hall 2)",19 from 19 countries,na
316510,"Middleweight (≤90 kilograms), Men",2012 Summer Olympics,54,Judo, 1 August 2012,"ExCeL, Newham, London (Hall 2)",30 from 30 countries,na
316192,"Half-Lightweight (≤52 kilograms), Women",2012 Summer Olympics,54,Judo,29 July 2012,"ExCeL, Newham, London (Hall 2)",23 from 23 countries,na
316117,"Half-Lightweight (≤66 kilograms), Men",2012 Summer Olympics,54,Judo,29 July 2012,"ExCeL, Newham, London (Hall 2)",36 from 36 countries,na
316000,"Extra-Lightweight (≤60 kilograms), Men",2012 Summer Olympics,54,Judo,28 July 2012 — 09:30,"ExCeL, Newham, London (Hall 2)",37 from 37 countries,na
316393,"Half-Middleweight (≤81 kilograms), Men",2012 Summer Olympics,54,Judo,31 July 2012,"ExCeL, Newham, London (Hall 2)",33 from 33 countries,na
900513,"Lightweight (≤56 kilograms), Women",1988 Summer Olympics,22,Judo,27 September 1988,"Jang-chung Che-yuk-gwan, Seoul",8 from 8 countries,na
900543,"Half-Heavyweight (≤72 kilograms), Women",1988 Summer Olympics,22,Judo,30 September 1988,"Jang-chung Che-yuk-gwan, Seoul",7 from 7 countries,na
16697,"Middleweight (≤86 kilograms), Men",1988 Summer Olympics,22,Judo,29 September 1988,"Jang-chung Che-yuk-gwan, Seoul",36 from 36 countries,na
900523,"Half-Middleweight (≤61 kilograms), Women",1988 Summer Olympics,22,Judo,28 September 1988,"Jang-chung Che-yuk-gwan, Seoul",8 from 8 countries,na
900553,"Heavyweight (>72 kilograms), Women",1988 Summer Olympics,22,Judo, 1 October 1988,"Jang-chung Che-yuk-gwan, Seoul",7 from 7 countries,na
900503,"Half-Lightweight (≤52 kilograms), Women",1988 Summer Olympics,22,Judo,26 September 1988,"Jang-chung Che-yuk-gwan, Seoul",8 from 8 countries,na
