Country,Code,Year,GDP_gross,GDP_pc,Region,GII,Gini
Argentina,ARG,1990,557088925124,17007.285,South America,0.489,
Argentina,ARG,1991,607968472614,18295.61,South America,0.452,0.46754274
Argentina,ARG,1992,656224702857,19476.283,South America,0.45,0.45454842
Argentina,ARG,1993,710080926887,20791.346,South America,0.442,0.44843096
Argentina,ARG,1994,751522674939,21711.844,South America,0.444,0.4589804
Argentina,ARG,1995,730140279566,20819.5,South America,0.442,0.48878098
Argentina,ARG,1996,770492868120,21695.596,South America,0.429,0.49490517
Argentina,ARG,1997,832987905019,23172.158,South America,0.429,0.49085242
Argentina,ARG,1998,865059429174,23783.102,South America,0.425,0.50712705
Argentina,ARG,1999,835773213823,22714.512,South America,0.421,0.49765623
Argentina,ARG,2000,829178972033,22281.38,South America,0.426,0.5103796
Argentina,ARG,2001,792621800475,21066.459,South America,0.425,0.5329304
Argentina,ARG,2002,706269738674,18571.701,South America,0.396,0.5375955
Argentina,ARG,2003,768683083609,20005.139,South America,0.397,0.50994456
Argentina,ARG,2004,838091886093,21591.45,South America,0.39,0.48483533
Argentina,ARG,2005,912276929668,23262.408,South America,0.375,0.47810286
Argentina,ARG,2006,985689236302,24877.25,South America,0.375,0.46444497
Argentina,ARG,2007,1074476681421,26850.664,South America,0.374,0.46282586
Argentina,ARG,2008,1118070705029,27658.484,South America,0.373,0.44986764
Argentina,ARG,2009,1051897409980,25747.197,South America,0.37,0.43758938
Argentina,ARG,2010,1158406210935,28056.258,South America,0.37,0.43676555
Argentina,ARG,2011,1227956360246,29425.76,South America,0.364,0.4273792
Argentina,ARG,2012,1215352364993,28825.967,South America,0.353,0.41437364
Argentina,ARG,2013,1244585524448,29227.66,South America,0.352,0.4108646
Argentina,ARG,2014,1213313877880,28200.814,South America,0.347,0.41822484
Argentina,ARG,2015,1246451419104,28669.207,South America,0.338,
Argentina,ARG,2016,1220521143173,27802.105,South America,0.333,0.42345008
Argentina,ARG,2017,1254921567938,28334.904,South America,0.321,0.41434798
Argentina,ARG,2018,1222075295207,27367.115,South America,0.301,0.4171897
Argentina,ARG,2019,1197623267200,26629.553,South America,0.283,0.43314135
Argentina,ARG,2020,1079052757506,23877.094,South America,0.285,0.42743686
Argentina,ARG,2021,1191725417699,26300.273,South America,0.272,0.4244556
Argentina,ARG,2022,1254527913254,27627.963,South America,0.262,0.4073646
Argentina,ARG,2023,1234317448237,27104.98,South America,0.264,0.42390975
Brazil,BRA,1990,1884169357571,12633.288,South America,0.582,0.60450876
Brazil,BRA,1991,1903617557453,12546.561,South America,0.577,
Brazil,BRA,1992,1893260506388,12271.979,South America,0.561,0.5310342
Brazil,BRA,1993,1986497717291,12669.429,South America,0.557,0.60066897
Brazil,BRA,1994,2102764853432,13202.931,South America,0.553,
Brazil,BRA,1995,2191581301438,13550.439,South America,0.543,0.59531194
Brazil,BRA,1996,2239990352941,13641.63,South America,0.536,0.5983838
Brazil,BRA,1997,2316034575532,13896.625,South America,0.53,0.5975472
Brazil,BRA,1998,2323865039823,13737.703,South America,0.522,0.59566253
Brazil,BRA,1999,2334739277338,13602.414,South America,0.514,0.5895122
Brazil,BRA,2000,2437186456558,14005.348,South America,0.506,
Brazil,BRA,2001,2471060823402,14016.132,South America,0.495,0.5840288
Brazil,BRA,2002,2546513723160,14265.905,South America,0.494,0.5810567
Brazil,BRA,2003,2575565090158,14259.366,South America,0.471,0.57553387
Brazil,BRA,2004,2723916728546,14911.261,South America,0.47,0.56471825
Brazil,BRA,2005,2811140139434,15221.014,South America,0.467,0.5631013
Brazil,BRA,2006,2922517194416,15657.4795,South America,0.466,0.5564221
Brazil,BRA,2007,3099910206578,16440.584,South America,0.463,0.54919165
Brazil,BRA,2008,3257825691169,17113.367,South America,0.46,0.5403759
Brazil,BRA,2009,3253726955440,16939.441,South America,0.456,0.53682
Brazil,BRA,2010,3498674868152,18062.158,South America,0.447,
Brazil,BRA,2011,3637727009587,18627.81,South America,0.446,0.5294177
Brazil,BRA,2012,3707614147323,18832.219,South America,0.441,0.5343539
Brazil,BRA,2013,3819021377717,19241.506,South America,0.445,0.526834
Brazil,BRA,2014,3838267555171,19183.172,South America,0.441,0.5202971
Brazil,BRA,2015,3702171669286,18357.068,South America,0.436,0.51926535
Brazil,BRA,2016,3580891601615,17620.928,South America,0.432,0.5336719
Brazil,BRA,2017,3628262108472,17724.48,South America,0.422,0.5332116
Brazil,BRA,2018,3692978213726,17917.75,South America,0.401,0.5388841
Brazil,BRA,2019,3738061272790,18018.621,South America,0.398,0.5350941
Brazil,BRA,2020,3615574021216,17327.516,South America,0.411,0.4890203
Brazil,BRA,2021,3787769507879,18075.705,South America,0.405,0.52938807
Brazil,BRA,2022,3902034936764,18554.047,South America,0.39,0.52015305
Brazil,BRA,2023,4015524861483,19018.238,South America,0.39,0.5163944
Chile,CHL,1990,148672338665,11064.255,South America,0.508,0.5723576
Chile,CHL,1991,160275311047,11731.046,South America,0.504,
Chile,CHL,1992,178172786599,12832.425,South America,0.491,0.5480666
Chile,CHL,1993,189912206346,13466.777,South America,0.486,
Chile,CHL,1994,199465166310,13932.774,South America,0.483,0.5642127
Chile,CHL,1995,217283979773,14956.858,South America,0.477,
Chile,CHL,1996,232065627693,15750.299,South America,0.469,0.54868966
Chile,CHL,1997,249219313822,16689.799,South America,0.465,
Chile,CHL,1998,259638890786,17163.031,South America,0.44,0.55516803
Chile,CHL,1999,258928437260,16902.092,South America,0.438,
Chile,CHL,2000,271801379087,17531.46,South America,0.433,0.52758694
Chile,CHL,2001,280374089508,17876.613,South America,0.435,
Chile,CHL,2002,289353908436,18246.645,South America,0.417,
Chile,CHL,2003,303020803220,18909.547,South America,0.41,0.5147556
Chile,CHL,2004,323245181807,19969.033,South America,0.393,
Chile,CHL,2005,342113150842,20925.916,South America,0.379,
Chile,CHL,2006,362810965093,21976.297,South America,0.382,0.47706884
Chile,CHL,2007,381561873816,22886.965,South America,0.376,
Chile,CHL,2008,396020751999,23518.086,South America,0.37,
Chile,CHL,2009,391593092542,23021.709,South America,0.357,0.47404668
Chile,CHL,2010,414507753725,24125.287,South America,0.35,
Chile,CHL,2011,440306288491,25375.229,South America,0.335,0.46868157
Chile,CHL,2012,467408637682,26679.916,South America,0.327,
Chile,CHL,2013,482872890996,27300.996,South America,0.308,0.4682394
Chile,CHL,2014,491529109334,27514.764,South America,0.291,
Chile,CHL,2015,502106533131,27821.197,South America,0.287,0.45343348
Chile,CHL,2016,510908655200,27968.604,South America,0.267,
Chile,CHL,2017,517845238398,27902.846,South America,0.249,0.45269984
Chile,CHL,2018,538507416046,28502.725,South America,0.215,
Chile,CHL,2019,541923532261,28228.5,South America,0.195,
Chile,CHL,2020,508630596663,26257.832,South America,0.182,0.47004908
Chile,CHL,2021,566278570129,29105.102,South America,0.119,
Chile,CHL,2022,577936774023,29557.393,South America,0.114,0.43042782
Chile,CHL,2023,579201187951,29462.64,South America,0.102,
China,CHN,1990,1868036533802,1645.579,Asia,,
China,CHN,1991,2041068761921,1773.6394,Asia,,
China,CHN,1992,2331401191963,2001.2543,Asia,,
China,CHN,1993,2655086622394,2253.052,Asia,,
China,CHN,1994,3001225131285,2518.1548,Asia,,
China,CHN,1995,3329977961864,2763.7998,Asia,,
China,CHN,1996,3660396914986,3006.3628,Asia,,
China,CHN,1997,3998499721193,3250.6145,Asia,,
