Entity,Code,Year,Gender Inequality Index
Argentina,ARG,1990,0.489
Argentina,ARG,1991,0.452
Argentina,ARG,1992,0.45
Argentina,ARG,1993,0.442
Argentina,ARG,1994,0.444
Argentina,ARG,1995,0.442
Argentina,ARG,1996,0.429
Argentina,ARG,1997,0.429
Argentina,ARG,1998,0.425
Argentina,ARG,1999,0.421
Argentina,ARG,2000,0.426
Argentina,ARG,2001,0.425
Argentina,ARG,2002,0.396
Argentina,ARG,2003,0.397
Argentina,ARG,2004,0.39
Argentina,ARG,2005,0.375
Argentina,ARG,2006,0.375
Argentina,ARG,2007,0.374
Argentina,ARG,2008,0.373
Argentina,ARG,2009,0.37
Argentina,ARG,2010,0.37
Argentina,ARG,2011,0.364
Argentina,ARG,2012,0.353
Argentina,ARG,2013,0.352
Argentina,ARG,2014,0.347
Argentina,ARG,2015,0.338
Argentina,ARG,2016,0.333
Argentina,ARG,2017,0.321
Argentina,ARG,2018,0.301
Argentina,ARG,2019,0.283
Argentina,ARG,2020,0.285
Argentina,ARG,2021,0.272
Argentina,ARG,2022,0.262
Argentina,ARG,2023,0.264
Brazil,BRA,1990,0.582
Brazil,BRA,1991,0.577
Brazil,BRA,1992,0.561
Brazil,BRA,1993,0.557
Brazil,BRA,1994,0.553
Brazil,BRA,1995,0.543
Brazil,BRA,1996,0.536
Brazil,BRA,1997,0.53
Brazil,BRA,1998,0.522
Brazil,BRA,1999,0.514
Brazil,BRA,2000,0.506
Brazil,BRA,2001,0.495
Brazil,BRA,2002,0.494
Brazil,BRA,2003,0.471
Brazil,BRA,2004,0.47
Brazil,BRA,2005,0.467
Brazil,BRA,2006,0.466
Brazil,BRA,2007,0.463
Brazil,BRA,2008,0.46
Brazil,BRA,2009,0.456
Brazil,BRA,2010,0.447
Brazil,BRA,2011,0.446
Brazil,BRA,2012,0.441
Brazil,BRA,2013,0.445
Brazil,BRA,2014,0.441
Brazil,BRA,2015,0.436
Brazil,BRA,2016,0.432
Brazil,BRA,2017,0.422
Brazil,BRA,2018,0.401
Brazil,BRA,2019,0.398
Brazil,BRA,2020,0.411
Brazil,BRA,2021,0.405
Brazil,BRA,2022,0.39
Brazil,BRA,2023,0.39
Chile,CHL,1990,0.508
Chile,CHL,1991,0.504
Chile,CHL,1992,0.491
Chile,CHL,1993,0.486
Chile,CHL,1994,0.483
Chile,CHL,1995,0.477
Chile,CHL,1996,0.469
Chile,CHL,1997,0.465
Chile,CHL,1998,0.44
Chile,CHL,1999,0.438
Chile,CHL,2000,0.433
Chile,CHL,2001,0.435
Chile,CHL,2002,0.417
Chile,CHL,2003,0.41
Chile,CHL,2004,0.393
Chile,CHL,2005,0.379
Chile,CHL,2006,0.382
Chile,CHL,2007,0.376
Chile,CHL,2008,0.37
Chile,CHL,2009,0.357
Chile,CHL,2010,0.35
Chile,CHL,2011,0.335
Chile,CHL,2012,0.327
Chile,CHL,2013,0.308
Chile,CHL,2014,0.291
Chile,CHL,2015,0.287
Chile,CHL,2016,0.267
Chile,CHL,2017,0.249
Chile,CHL,2018,0.215
Chile,CHL,2019,0.195
Chile,CHL,2020,0.182
Chile,CHL,2021,0.119
Chile,CHL,2022,0.114
Chile,CHL,2023,0.102
China,CHN,1998,0.207
China,CHN,1999,0.228
China,CHN,2000,0.224
China,CHN,2001,0.215
China,CHN,2002,0.213
China,CHN,2003,0.205
China,CHN,2004,0.204
China,CHN,2005,0.21
China,CHN,2006,0.223
China,CHN,2007,0.221
China,CHN,2008,0.23
China,CHN,2009,0.227
China,CHN,2010,0.226
China,CHN,2011,0.232
China,CHN,2012,0.227
China,CHN,2013,0.217
China,CHN,2014,0.21
China,CHN,2015,0.202
China,CHN,2016,0.192
China,CHN,2017,0.181
China,CHN,2018,0.163
China,CHN,2019,0.159
China,CHN,2020,0.154
China,CHN,2021,0.145
China,CHN,2022,0.138
China,CHN,2023,0.132
Germany,DEU,1990,0.178
Germany,DEU,1991,0.166
Germany,DEU,1992,0.156
Germany,DEU,1993,0.147
Germany,DEU,1994,0.139
Germany,DEU,1995,0.134
Germany,DEU,1996,0.134
Germany,DEU,1997,0.133
Germany,DEU,1998,0.133
Germany,DEU,1999,0.125
Germany,DEU,2000,0.125
Germany,DEU,2001,0.122
Germany,DEU,2002,0.117
Germany,DEU,2003,0.111
Germany,DEU,2004,0.106
Germany,DEU,2005,0.107
Germany,DEU,2006,0.104
Germany,DEU,2007,0.103
Germany,DEU,2008,0.102
Germany,DEU,2009,0.096
Germany,DEU,2010,0.096
Germany,DEU,2011,0.087
Germany,DEU,2012,0.085
Germany,DEU,2013,0.077
Germany,DEU,2014,0.077
Germany,DEU,2015,0.076
Germany,DEU,2016,0.083
Germany,DEU,2017,0.085
Germany,DEU,2018,0.08
Germany,DEU,2019,0.076
Germany,DEU,2020,0.071
Germany,DEU,2021,0.064
Germany,DEU,2022,0.058
Germany,DEU,2023,0.057
India,IND,1990,0.697
India,IND,1991,0.698
India,IND,1992,0.7
India,IND,1993,0.702
India,IND,1994,0.702
India,IND,1995,0.702
India,IND,1996,0.697
India,IND,1997,0.692
India,IND,1998,0.682
India,IND,1999,0.676
India,IND,2000,0.671
India,IND,2001,0.65
India,IND,2002,0.643
India,IND,2003,0.637
India,IND,2004,0.629
India,IND,2005,0.615
India,IND,2006,0.601
India,IND,2007,0.594
India,IND,2008,0.596
India,IND,2009,0.58
India,IND,2010,0.566
India,IND,2011,0.561
India,IND,2012,0.557
India,IND,2013,0.55
India,IND,2014,0.528
India,IND,2015,0.496
India,IND,2016,0.484
India,IND,2017,0.488
India,IND,2018,0.487
India,IND,2019,0.464
India,IND,2020,0.441
India,IND,2021,0.438
India,IND,2022,0.427
India,IND,2023,0.403
Japan,JPN,1990,0.166
Japan,JPN,1991,0.165
Japan,JPN,1992,0.167
Japan,JPN,1993,0.165
Japan,JPN,1994,0.161
Japan,JPN,1995,0.163
Japan,JPN,1996,0.159
Japan,JPN,1997,0.162
Japan,JPN,1998,0.165
Japan,JPN,1999,0.159
Japan,JPN,2000,0.15
Japan,JPN,2001,0.154
Japan,JPN,2002,0.16
Japan,JPN,2003,0.159
Japan,JPN,2004,0.16
Japan,JPN,2005,0.146
Japan,JPN,2006,0.141
Japan,JPN,2007,0.133
Japan,JPN,2008,0.132
Japan,JPN,2009,0.123
Japan,JPN,2010,0.118
Japan,JPN,2011,0.117
Japan,JPN,2012,0.126
Japan,JPN,2013,0.128
Japan,JPN,2014,0.126
Japan,JPN,2015,0.118
Japan,JPN,2016,0.104
Japan,JPN,2017,0.096
Japan,JPN,2018,0.091
Japan,JPN,2019,0.082
Japan,JPN,2020,0.079
Japan,JPN,2021,0.072
Japan,JPN,2022,0.062
Japan,JPN,2023,0.059
Mexico,MEX,1990,0.552
Mexico,MEX,1991,0.51
Mexico,MEX,1992,0.505
Mexico,MEX,1993,0.498
Mexico,MEX,1994,0.492
Mexico,MEX,1995,0.485
Mexico,MEX,1996,0.483
Mexico,MEX,1997,0.477
