Entity,Code,Year,Gender Inequality Index,Gini coefficient (2021 prices) - Income or consumption consolidated
Argentina,ARG,1990,0.489,
Argentina,ARG,1991,0.452,0.46754274
Argentina,ARG,1992,0.45,0.45454842
Argentina,ARG,1993,0.442,0.44843096
Argentina,ARG,1994,0.444,0.4589804
Argentina,ARG,1995,0.442,0.48878098
Argentina,ARG,1996,0.429,0.49490517
Argentina,ARG,1997,0.429,0.49085242
Argentina,ARG,1998,0.425,0.50712705
Argentina,ARG,1999,0.421,0.49765623
Argentina,ARG,2000,0.426,0.5103796
Argentina,ARG,2001,0.425,0.5329304
Argentina,ARG,2002,0.396,0.5375955
Argentina,ARG,2003,0.397,0.50994456
Argentina,ARG,2004,0.39,0.48483533
Argentina,ARG,2005,0.375,0.47810286
Argentina,ARG,2006,0.375,0.46444497
Argentina,ARG,2007,0.374,0.46282586
Argentina,ARG,2008,0.373,0.44986764
Argentina,ARG,2009,0.37,0.43758938
Argentina,ARG,2010,0.37,0.43676555
Argentina,ARG,2011,0.364,0.4273792
Argentina,ARG,2012,0.353,0.41437364
Argentina,ARG,2013,0.352,0.4108646
Argentina,ARG,2014,0.347,0.41822484
Argentina,ARG,2015,0.338,
Argentina,ARG,2016,0.333,0.42345008
Argentina,ARG,2017,0.321,0.41434798
Argentina,ARG,2018,0.301,0.4171897
Argentina,ARG,2019,0.283,0.43314135
Argentina,ARG,2020,0.285,0.42743686
Argentina,ARG,2021,0.272,0.4244556
Argentina,ARG,2022,0.262,0.4073646
Argentina,ARG,2023,0.264,0.42390975
Brazil,BRA,1990,0.582,0.60450876
Brazil,BRA,1991,0.577,
Brazil,BRA,1992,0.561,0.5310342
Brazil,BRA,1993,0.557,0.60066897
Brazil,BRA,1994,0.553,
Brazil,BRA,1995,0.543,0.59531194
Brazil,BRA,1996,0.536,0.5983838
Brazil,BRA,1997,0.53,0.5975472
Brazil,BRA,1998,0.522,0.59566253
Brazil,BRA,1999,0.514,0.5895122
Brazil,BRA,2000,0.506,
Brazil,BRA,2001,0.495,0.5840288
Brazil,BRA,2002,0.494,0.5810567
Brazil,BRA,2003,0.471,0.57553387
Brazil,BRA,2004,0.47,0.56471825
Brazil,BRA,2005,0.467,0.5631013
Brazil,BRA,2006,0.466,0.5564221
Brazil,BRA,2007,0.463,0.54919165
Brazil,BRA,2008,0.46,0.5403759
Brazil,BRA,2009,0.456,0.53682
Brazil,BRA,2010,0.447,
Brazil,BRA,2011,0.446,0.5294177
Brazil,BRA,2012,0.441,0.5343539
Brazil,BRA,2013,0.445,0.526834
Brazil,BRA,2014,0.441,0.5202971
Brazil,BRA,2015,0.436,0.51926535
Brazil,BRA,2016,0.432,0.5336719
Brazil,BRA,2017,0.422,0.5332116
Brazil,BRA,2018,0.401,0.5388841
Brazil,BRA,2019,0.398,0.5350941
Brazil,BRA,2020,0.411,0.4890203
Brazil,BRA,2021,0.405,0.52938807
Brazil,BRA,2022,0.39,0.52015305
Brazil,BRA,2023,0.39,0.5163944
Chile,CHL,1990,0.508,0.5723576
Chile,CHL,1991,0.504,
Chile,CHL,1992,0.491,0.5480666
Chile,CHL,1993,0.486,
Chile,CHL,1994,0.483,0.5642127
Chile,CHL,1995,0.477,
Chile,CHL,1996,0.469,0.54868966
Chile,CHL,1997,0.465,
Chile,CHL,1998,0.44,0.55516803
