Entity,Code,Year,Gini coefficient (2021 prices) - Income or consumption consolidated,1103404-annotations
Argentina (urban),,1991,0.46754274,
Argentina (urban),,1992,0.45454842,
Argentina (urban),,1993,0.44843096,
Argentina (urban),,1994,0.4589804,
Argentina (urban),,1995,0.48878098,
Argentina (urban),,1996,0.49490517,
Argentina (urban),,1997,0.49085242,
Argentina (urban),,1998,0.50712705,
Argentina (urban),,1999,0.49765623,
Argentina (urban),,2000,0.5103796,
Argentina (urban),,2001,0.5329304,
Argentina (urban),,2002,0.5375955,
Argentina (urban),,2003,0.50994456,
Argentina (urban),,2004,0.48483533,
Argentina (urban),,2005,0.47810286,
Argentina (urban),,2006,0.46444497,
Argentina (urban),,2007,0.46282586,
Argentina (urban),,2008,0.44986764,
Argentina (urban),,2009,0.43758938,
Argentina (urban),,2010,0.43676555,
Argentina (urban),,2011,0.4273792,
Argentina (urban),,2012,0.41437364,
Argentina (urban),,2013,0.4108646,
Argentina (urban),,2014,0.41822484,
Argentina (urban),,2016,0.42345008,
Argentina (urban),,2017,0.41434798,
Argentina (urban),,2018,0.4171897,
Argentina (urban),,2019,0.43314135,
Argentina (urban),,2020,0.42743686,
Argentina (urban),,2021,0.4244556,
Argentina (urban),,2022,0.4073646,
Argentina (urban),,2023,0.42390975,
Brazil,BRA,1990,0.60450876,
Brazil,BRA,1992,0.5310342,
Brazil,BRA,1993,0.60066897,
Brazil,BRA,1995,0.59531194,
Brazil,BRA,1996,0.5983838,
Brazil,BRA,1997,0.5975472,
Brazil,BRA,1998,0.59566253,
Brazil,BRA,1999,0.5895122,
Brazil,BRA,2001,0.5840288,
Brazil,BRA,2002,0.5810567,
Brazil,BRA,2003,0.57553387,
Brazil,BRA,2004,0.56471825,
Brazil,BRA,2005,0.5631013,
Brazil,BRA,2006,0.5564221,
Brazil,BRA,2007,0.54919165,
Brazil,BRA,2008,0.5403759,
Brazil,BRA,2009,0.53682,
Brazil,BRA,2011,0.5294177,
Brazil,BRA,2012,0.5343539,
Brazil,BRA,2013,0.526834,
Brazil,BRA,2014,0.5202971,
Brazil,BRA,2015,0.51926535,
Brazil,BRA,2016,0.5336719,
Brazil,BRA,2017,0.5332116,
Brazil,BRA,2018,0.5388841,
Brazil,BRA,2019,0.5350941,
Brazil,BRA,2020,0.4890203,
Brazil,BRA,2021,0.52938807,
Brazil,BRA,2022,0.52015305,
Brazil,BRA,2023,0.5163944,
Chile,CHL,1990,0.5723576,
Chile,CHL,1992,0.5480666,
Chile,CHL,1994,0.5642127,
Chile,CHL,1996,0.54868966,
Chile,CHL,1998,0.55516803,
Chile,CHL,2000,0.52758694,
Chile,CHL,2003,0.5147556,
Chile,CHL,2006,0.47706884,
Chile,CHL,2009,0.47404668,
Chile,CHL,2011,0.46868157,
Chile,CHL,2013,0.4682394,
Chile,CHL,2015,0.45343348,
Chile,CHL,2017,0.45269984,
Chile,CHL,2020,0.47004908,
Chile,CHL,2022,0.43042782,
China,CHN,1990,0.3222662,
China,CHN,1993,0.338778,
China,CHN,1996,0.3522766,
China,CHN,1999,0.38703215,
China,CHN,2002,0.41985726,
China,CHN,2005,0.40900767,
China,CHN,2008,0.4296504,
China,CHN,2010,0.43744954,
China,CHN,2011,0.42409223,
China,CHN,2012,0.42237166,
China,CHN,2013,0.397364,
China,CHN,2014,0.39177653,
China,CHN,2015,0.38595304,
China,CHN,2016,0.38480517,
China,CHN,2017,0.39075777,
China,CHN,2018,0.38497642,
China,CHN,2019,0.38168344,
China,CHN,2020,0.37090832,
China,CHN,2021,0.35743752,
Germany,DEU,1991,0.29492873,
Germany,DEU,1992,0.2907326,
Germany,DEU,1993,0.28612086,
Germany,DEU,1994,0.29159415,
Germany,DEU,1995,0.28811273,
Germany,DEU,1996,0.27993777,
Germany,DEU,1997,0.28246725,
Germany,DEU,1998,0.2827037,
Germany,DEU,1999,0.29047978,
Germany,DEU,2000,0.2888814,
Germany,DEU,2001,0.29949388,
Germany,DEU,2002,0.29810533,
Germany,DEU,2003,0.2980293,
Germany,DEU,2004,0.30192587,
Germany,DEU,2005,0.31704092,
Germany,DEU,2006,0.3104196,
Germany,DEU,2007,0.3117709,
Germany,DEU,2008,0.30800265,
Germany,DEU,2009,0.30479428,
Germany,DEU,2010,0.30218413,
Germany,DEU,2011,0.30610505,
Germany,DEU,2012,0.3105579,
Germany,DEU,2013,0.31453598,
Germany,DEU,2014,0.30847794,
Germany,DEU,2015,0.31653914,
Germany,DEU,2016,0.3141309,
Germany,DEU,2017,0.31314865,
Germany,DEU,2018,0.31872115,
Germany,DEU,2019,0.31780925,
Germany,DEU,2020,0.3243345,
India,IND,1993,0.26109812,
India,IND,2004,0.27682066,
India,IND,2009,0.27825886,
India,IND,2011,0.28776884,
India,IND,2022,0.25514996,
Japan,JPN,2008,0.34599212,
Japan,JPN,2009,0.32979482,
Japan,JPN,2010,0.3149226,
Japan,JPN,2011,0.32975632,
Japan,JPN,2012,0.32534882,
Japan,JPN,2013,0.31533545,
Japan,JPN,2014,0.31277955,
Japan,JPN,2015,0.3070093,
Japan,JPN,2016,0.31840593,
Japan,JPN,2017,0.31792736,
Japan,JPN,2018,0.32894954,
Japan,JPN,2019,0.32984936,
Japan,JPN,2020,0.32339275,
Mexico,MEX,1992,0.52310723,
Mexico,MEX,1994,0.53422207,
Mexico,MEX,1996,0.51971227,
Mexico,MEX,1998,0.5328315,
Mexico,MEX,2000,0.5341742,
Mexico,MEX,2002,0.50582886,
Mexico,MEX,2004,0.50343025,
Mexico,MEX,2005,0.50938904,
Mexico,MEX,2006,0.49712265,
Mexico,MEX,2008,0.5084356,
Mexico,MEX,2010,0.4765793,
Mexico,MEX,2012,0.49597234,
Mexico,MEX,2014,0.48912337,
Mexico,MEX,2016,0.46912423,
Mexico,MEX,2018,0.45954892,
Mexico,MEX,2020,0.44594306,
Mexico,MEX,2022,0.43454006,
Portugal,PRT,2003,0.38775006,
Portugal,PRT,2004,0.38938776,
Portugal,PRT,2005,0.38480073,
Portugal,PRT,2006,0.3806078,
Portugal,PRT,2007,0.36750183,
Portugal,PRT,2008,0.3663415,
Portugal,PRT,2009,0.34907416,
Portugal,PRT,2010,0.35844672,
Portugal,PRT,2011,0.36344677,
Portugal,PRT,2012,0.36034793,
Portugal,PRT,2013,0.36187103,
Portugal,PRT,2014,0.35562173,
Portugal,PRT,2015,0.355233,
Portugal,PRT,2016,0.3519052,
Portugal,PRT,2017,0.3380384,
Portugal,PRT,2018,0.33492562,
Portugal,PRT,2019,0.32762748,
Portugal,PRT,2020,0.3466863,
Portugal,PRT,2021,0.34592018,
Portugal,PRT,2022,0.36252204,
Russia,RUS,1993,0.45385477,
Russia,RUS,1996,0.4609863,
Russia,RUS,1997,0.384092,
Russia,RUS,1998,0.38137004,
Russia,RUS,1999,0.37443388,
Russia,RUS,2000,0.37092742,
Russia,RUS,2001,0.36924985,
Russia,RUS,2002,0.3728377,
Russia,RUS,2003,0.39971548,
Russia,RUS,2004,0.4031583,
Russia,RUS,2005,0.41265598,
Russia,RUS,2006,0.4095094,
Russia,RUS,2007,0.42272472,
Russia,RUS,2008,0.41568583,
Russia,RUS,2009,0.398456,
Russia,RUS,2010,0.39548978,
Russia,RUS,2011,0.39749315,
Russia,RUS,2012,0.40714827,
Russia,RUS,2013,0.40884423,
Russia,RUS,2014,0.3988122,
Russia,RUS,2015,0.37710539,
Russia,RUS,2016,0.368485,
Russia,RUS,2017,0.37239072,
Russia,RUS,2018,0.37473005,
Russia,RUS,2019,0.37736863,
Russia,RUS,2020,0.36068243,
South Africa,ZAF,1993,0.5933394,
South Africa,ZAF,2000,0.5776966,
South Africa,ZAF,2005,0.64761883,
South Africa,ZAF,2008,0.63009,
South Africa,ZAF,2010,0.6338256,
South Africa,ZAF,2014,0.6302572,
South Korea,KOR,2006,0.31702983,
South Korea,KOR,2008,0.32324833,
South Korea,KOR,2010,0.32021224,
South Korea,KOR,2012,0.31558052,
South Korea,KOR,2014,0.31192905,
South Korea,KOR,2016,0.35222206,
South Korea,KOR,2017,0.34854642,
South Korea,KOR,2018,0.33725032,
South Korea,KOR,2019,0.33196163,
South Korea,KOR,2020,0.32708606,
South Korea,KOR,2021,0.32906574,
Spain,ESP,1990,0.32023215,
Spain,ESP,1993,0.3565849,
Spain,ESP,1994,0.35103723,
Spain,ESP,1995,0.35726634,
Spain,ESP,1996,0.3646458,
Spain,ESP,1997,0.3532442,
Spain,ESP,1998,0.34580052,
Spain,ESP,1999,0.33791927,
Spain,ESP,2000,0.3412891,
Spain,ESP,2003,0.31800938,
Spain,ESP,2004,0.3330196,
Spain,ESP,2005,0.32431775,
Spain,ESP,2006,0.33541155,
Spain,ESP,2007,0.3413741,
Spain,ESP,2008,0.342204,
Spain,ESP,2009,0.34924084,
Spain,ESP,2010,0.35244483,
Spain,ESP,2011,0.35693973,
Spain,ESP,2012,0.3540366,
Spain,ESP,2013,0.36181897,
Spain,ESP,2014,0.36052307,
Spain,ESP,2015,0.36178336,
Spain,ESP,2016,0.35757092,
Spain,ESP,2017,0.34651256,
Spain,ESP,2018,0.34716326,
Spain,ESP,2019,0.34303713,
Spain,ESP,2020,0.34863642,
Spain,ESP,2021,0.3388591,
Spain,ESP,2022,0.3357942,
United States,USA,1990,0.38262486,
United States,USA,1991,0.38044837,
United States,USA,1992,0.38372794,
United States,USA,1993,0.40363088,
United States,USA,1994,0.3998538,
United States,USA,1995,0.39853597,
United States,USA,1996,0.40308315,
United States,USA,1997,0.40524122,
United States,USA,1998,0.3995175,
United States,USA,1999,0.3998439,
United States,USA,2000,0.4013887,
United States,USA,2001,0.40594274,
United States,USA,2002,0.40352023,
United States,USA,2003,0.4077004,
United States,USA,2004,0.4054555,
United States,USA,2005,0.41260278,
United States,USA,2006,0.41693398,
United States,USA,2007,0.41088763,
United States,USA,2008,0.41092274,
United States,USA,2009,0.40849945,
United States,USA,2010,0.40241358,
United States,USA,2011,0.41163278,
United States,USA,2012,0.41155744,
United States,USA,2013,0.4087145,
United States,USA,2014,0.4173704,
United States,USA,2015,0.41455927,
United States,USA,2016,0.4133007,
United States,USA,2017,0.4138584,
United States,USA,2018,0.417826,
United States,USA,2019,0.4190184,
United States,USA,2020,0.40001062,
