Country,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Chile,2025,73.2,71.3,67.9,87.8,72.5,74.4,84.2,79.5,61.3,71.8,78,60,70
Chile,2024,71.4,72.5,68.2,87.9,71.8,73.4,66,79.2,58.6,70.9,78,60,70
Chile,2023,71.1,72.3,88.7,71.8,73,73.5,43.8,75.7,59.4,77.4,78,70,70
Chile,2022,74.4,73,71.4,91.4,72.4,78.1,75.3,76.2,58,79.4,78,70,70
Chile,2021,75.2,70.2,74.5,68.4,72.3,80.4,90.4,75.1,62.5,85.5,83,70,70
Chile,2020,76.8,69.9,73.4,61.1,76.4,80.8,90.5,75,64.7,85.2,89,85,70
Chile,2019,75.4,68.7,62.3,56.3,77.3,81,89,76.6,65,84.5,88.8,85,70
Chile,2018,75.2,67.9,61.2,63.4,78,81.3,91.7,72.4,60.4,82.4,88.7,85,70
Chile,2017,76.5,68.2,70.5,63.7,77.6,82.2,96.1,72.3,64.3,82.2,86.4,85,70
Chile,2016,77.7,85,73,N/A,74.8,83.1,N/A,72.1,64.3,82.9,86.4,85,70
Chile,2015,78.5,90,71,N/A,76.5,83.3,N/A,69.3,67,85.6,82,90,70
Chile,2014,78.7,90,72.3,N/A,76.5,83.8,N/A,69.3,69.3,84.1,82,90,70
Chile,2013,79,90,72,N/A,77.6,83.7,N/A,70.5,74.2,84.6,82,85,70
Chile,2012,78.3,90,72,N/A,77.4,82.1,N/A,68.6,75.1,85.6,82,80,70
Chile,2011,77.4,85,67,N/A,77.7,86.6,N/A,67.2,74.5,77.9,88,80,70
Chile,2010,77.2,85,69,N/A,77.5,89.6,N/A,64.8,75.4,73,88,80,70
Chile,2009,78.3,90,70,N/A,78.2,90.1,N/A,66.3,75,77.3,85.8,80,70
Chile,2008,78.6,90,73,N/A,78.1,88.2,N/A,67.8,77.4,78.8,82.2,80,70
Chile,2007,77.7,90,73,N/A,78.8,87.9,N/A,68.2,77,79.8,82.4,70,70
Chile,2006,78,90,74,N/A,78.6,87.5,N/A,68.1,77.5,86.9,77.6,70,70
Chile,2005,77.8,90,74,N/A,78.3,84.8,N/A,70,77.3,84.4,79.2,70,70
Chile,2004,76.9,90,75,N/A,78.5,81.5,N/A,70,N/A,84.2,73,70,70
Chile,2003,76,90,75,N/A,75,81.8,N/A,70,N/A,83,69,70,70
Chile,2002,77.8,90,74,N/A,74,82.7,N/A,85,N/A,82.7,71.4,70,70
Chile,2001,75.1,90,69,N/A,73.7,84.1,N/A,85,N/A,82.4,71.6,70,50
Chile,2000,74.7,90,68,N/A,73.2,85.5,N/A,85,N/A,80.1,70.4,70,50
Chile,1999,74.1,90,61,N/A,73,87.1,N/A,85,N/A,78.7,73,70,50
Chile,1998,74.9,90,68,N/A,73,88.1,N/A,85,N/A,77.1,73,70,50
Chile,1997,75.9,90,79,N/A,73.5,86.6,N/A,85,N/A,75.6,73,70,50
Chile,1996,72.6,90,50,N/A,89.8,85.9,N/A,85,N/A,68,65,70,50
Chile,1995,71.2,90,50,N/A,79.4,87,N/A,85,N/A,66.2,63,70,50
