Entity,Code,Year,Human Development Index,World regions according to OWID,time
Argentina,ARG,2010,0.844,South America,2023
Argentina,ARG,2011,0.852,South America,2023
Argentina,ARG,2012,0.85,South America,2023
Argentina,ARG,2013,0.852,South America,2023
Argentina,ARG,2014,0.855,South America,2023
Argentina,ARG,2015,0.859,South America,2023
Argentina,ARG,2016,0.857,South America,2023
Argentina,ARG,2017,0.861,South America,2023
Argentina,ARG,2018,0.861,South America,2023
Argentina,ARG,2019,0.861,South America,2023
Argentina,ARG,2020,0.851,South America,2023
Argentina,ARG,2021,0.847,South America,2023
Argentina,ARG,2022,0.858,South America,2023
Argentina,ARG,2023,0.865,South America,2023
Brazil,BRA,2010,0.748,South America,2023
Brazil,BRA,2011,0.753,South America,2023
Brazil,BRA,2012,0.758,South America,2023
Brazil,BRA,2013,0.762,South America,2023
Brazil,BRA,2014,0.765,South America,2023
Brazil,BRA,2015,0.764,South America,2023
Brazil,BRA,2016,0.765,South America,2023
Brazil,BRA,2017,0.77,South America,2023
Brazil,BRA,2018,0.774,South America,2023
Brazil,BRA,2019,0.776,South America,2023
Brazil,BRA,2020,0.77,South America,2023
Brazil,BRA,2021,0.768,South America,2023
Brazil,BRA,2022,0.78,South America,2023
Brazil,BRA,2023,0.786,South America,2023
Chile,CHL,2010,0.823,South America,2023
Chile,CHL,2011,0.823,South America,2023
Chile,CHL,2012,0.832,South America,2023
Chile,CHL,2013,0.845,South America,2023
Chile,CHL,2014,0.849,South America,2023
Chile,CHL,2015,0.855,South America,2023
Chile,CHL,2016,0.859,South America,2023
Chile,CHL,2017,0.862,South America,2023
Chile,CHL,2018,0.866,South America,2023
Chile,CHL,2019,0.867,South America,2023
Chile,CHL,2020,0.856,South America,2023
Chile,CHL,2021,0.865,South America,2023
Chile,CHL,2022,0.869,South America,2023
Chile,CHL,2023,0.878,South America,2023
China,CHN,2010,0.71,Asia,2023
China,CHN,2011,0.717,Asia,2023
China,CHN,2012,0.725,Asia,2023
China,CHN,2013,0.733,Asia,2023
China,CHN,2014,0.742,Asia,2023
China,CHN,2015,0.75,Asia,2023
China,CHN,2016,0.758,Asia,2023
China,CHN,2017,0.765,Asia,2023
China,CHN,2018,0.774,Asia,2023
China,CHN,2019,0.781,Asia,2023
China,CHN,2020,0.786,Asia,2023
China,CHN,2021,0.794,Asia,2023
China,CHN,2022,0.796,Asia,2023
China,CHN,2023,0.797,Asia,2023
Germany,DEU,2010,0.936,Europe,2023
Germany,DEU,2011,0.942,Europe,2023
Germany,DEU,2012,0.944,Europe,2023
Germany,DEU,2013,0.945,Europe,2023
Germany,DEU,2014,0.949,Europe,2023
Germany,DEU,2015,0.948,Europe,2023
Germany,DEU,2016,0.949,Europe,2023
Germany,DEU,2017,0.951,Europe,2023
Germany,DEU,2018,0.952,Europe,2023
Germany,DEU,2019,0.957,Europe,2023
Germany,DEU,2020,0.955,Europe,2023
Germany,DEU,2021,0.958,Europe,2023
Germany,DEU,2022,0.955,Europe,2023
Germany,DEU,2023,0.959,Europe,2023
India,IND,2010,0.59,Asia,2023
India,IND,2011,0.603,Asia,2023
India,IND,2012,0.609,Asia,2023
India,IND,2013,0.615,Asia,2023
India,IND,2014,0.625,Asia,2023
India,IND,2015,0.633,Asia,2023
India,IND,2016,0.644,Asia,2023
India,IND,2017,0.649,Asia,2023
India,IND,2018,0.648,Asia,2023
India,IND,2019,0.651,Asia,2023
India,IND,2020,0.652,Asia,2023
India,IND,2021,0.647,Asia,2023
India,IND,2022,0.676,Asia,2023
India,IND,2023,0.685,Asia,2023
Japan,JPN,2010,0.907,Asia,2023
Japan,JPN,2011,0.906,Asia,2023
Japan,JPN,2012,0.909,Asia,2023
Japan,JPN,2013,0.912,Asia,2023
Japan,JPN,2014,0.914,Asia,2023
Japan,JPN,2015,0.917,Asia,2023
Japan,JPN,2016,0.918,Asia,2023
Japan,JPN,2017,0.92,Asia,2023
Japan,JPN,2018,0.921,Asia,2023
Japan,JPN,2019,0.922,Asia,2023
Japan,JPN,2020,0.922,Asia,2023
Japan,JPN,2021,0.922,Asia,2023
Japan,JPN,2022,0.921,Asia,2023
Japan,JPN,2023,0.925,Asia,2023
Mexico,MEX,2010,0.751,North America,2023
Mexico,MEX,2011,0.757,North America,2023
Mexico,MEX,2012,0.764,North America,2023
Mexico,MEX,2013,0.765,North America,2023
Mexico,MEX,2014,0.769,North America,2023
