Entity,Code,Year,Inequality-adjusted Human Development Index,World regions according to OWID,time,time
Afghanistan,AFG,2023,0.321,Asia,2023,2023
Albania,ALB,2023,0.705,Europe,2023,2023
Algeria,DZA,2023,0.601,Africa,2023,2023
Andorra,AND,2023,0.837,Europe,2023,2023
Angola,AGO,2023,0.36,Africa,2023,2023
Argentina,ARG,2023,0.761,South America,2023,2023
Armenia,ARM,2023,0.743,Asia,2023,2023
Australia,AUS,2023,0.873,Oceania,2023,2023
Austria,AUT,2023,0.861,Europe,2023,2023
Azerbaijan,AZE,2023,0.735,Asia,2023,2023
Bahamas,BHS,2023,0.67,North America,2023,2023
Bangladesh,BGD,2023,0.482,Asia,2023,2023
Barbados,BRB,2023,0.62,North America,2023,2023
Belarus,BLR,2023,0.771,Europe,2023,2023
Belgium,BEL,2023,0.891,Europe,2023,2023
Benin,BEN,2023,0.316,Africa,2023,2023
Bhutan,BTN,2023,0.478,Asia,2023,2023
Bolivia,BOL,2023,0.578,South America,2023,2023
Bosnia and Herzegovina,BIH,2023,0.689,Europe,2023,2023
Botswana,BWA,2023,0.509,Africa,2023,2023
Brazil,BRA,2023,0.594,South America,2023,2023
Brunei,BRN,2023,0.756,Asia,2023,2023
Bulgaria,BGR,2023,0.748,Europe,2023,2023
Burkina Faso,BFA,2023,0.273,Africa,2023,2023
Burundi,BDI,2023,0.286,Africa,2023,2023
Cambodia,KHM,2023,0.444,Asia,2023,2023
Cameroon,CMR,2023,0.361,Africa,2023,2023
Canada,CAN,2023,0.867,North America,2023,2023
Cape Verde,CPV,2023,0.478,Africa,2023,2023
Central African Republic,CAF,2023,0.253,Africa,2023,2023
Chad,TCD,2023,0.252,Africa,2023,2023
Chile,CHL,2023,0.723,South America,2023,2023
China,CHN,2023,0.67,Asia,2023,2023
Colombia,COL,2023,0.593,South America,2023,2023
Comoros,COM,2023,0.356,Africa,2023,2023
Congo,COG,2023,0.426,Africa,2023,2023
Costa Rica,CRI,2023,0.678,North America,2023,2023
Cote d'Ivoire,CIV,2023,0.35,Africa,2023,2023
Croatia,HRV,2023,0.828,Europe,2023,2023
Cyprus,CYP,2023,0.841,Europe,2023,2023
Czechia,CZE,2023,0.867,Europe,2023,2023
Democratic Republic of Congo,COD,2023,0.341,Africa,2023,2023
Denmark,DNK,2023,0.909,Europe,2023,2023
Djibouti,DJI,2023,0.341,Africa,2023,2023
Dominican Republic,DOM,2023,0.634,North America,2023,2023
East Timor,TLS,2023,0.451,Asia,2023,2023
Ecuador,ECU,2023,0.64,South America,2023,2023
Egypt,EGY,2023,0.582,Africa,2023,2023
El Salvador,SLV,2023,0.555,North America,2023,2023
Estonia,EST,2023,0.841,Europe,2023,2023
Eswatini,SWZ,2023,0.431,Africa,2023,2023
Ethiopia,ETH,2023,0.326,Africa,2023,2023
Fiji,FJI,2023,0.626,Oceania,2023,2023
Finland,FIN,2023,0.891,Europe,2023,2023
France,FRA,2023,0.836,Europe,2023,2023
Gabon,GAB,2023,0.558,Africa,2023,2023
Gambia,GMB,2023,0.329,Africa,2023,2023
Georgia,GEO,2023,0.754,Asia,2023,2023
Germany,DEU,2023,0.89,Europe,2023,2023
Ghana,GHA,2023,0.399,Africa,2023,2023
Greece,GRC,2023,0.825,Europe,2023,2023
Guatemala,GTM,2023,0.479,North America,2023,2023
Guinea,GIN,2023,0.302,Africa,2023,2023
Guinea-Bissau,GNB,2023,0.331,Africa,2023,2023
Haiti,HTI,2023,0.337,North America,2023,2023
Honduras,HND,2023,0.496,North America,2023,2023
Hungary,HUN,2023,0.819,Europe,2023,2023
Iceland,ISL,2023,0.923,Europe,2023,2023
India,IND,2023,0.475,Asia,2023,2023
Indonesia,IDN,2023,0.608,Asia,2023,2023
Iran,IRN,2023,0.643,Asia,2023,2023
Iraq,IRQ,2023,0.534,Asia,2023,2023
Ireland,IRL,2023,0.886,Europe,2023,2023
Israel,ISR,2023,0.813,Asia,2023,2023
Italy,ITA,2023,0.817,Europe,2023,2023
Jamaica,JAM,2023,0.59,North America,2023,2023
Japan,JPN,2023,0.845,Asia,2023,2023
Jordan,JOR,2023,0.637,Asia,2023,2023
Kazakhstan,KAZ,2023,0.766,Asia,2023,2023
Kenya,KEN,2023,0.456,Africa,2023,2023
Kiribati,KIR,2023,0.535,Oceania,2023,2023
Kyrgyzstan,KGZ,2023,0.649,Asia,2023,2023
Laos,LAO,2023,0.462,Asia,2023,2023
Latvia,LVA,2023,0.812,Europe,2023,2023
Lesotho,LSO,2023,0.357,Africa,2023,2023
Liberia,LBR,2023,0.326,Africa,2023,2023
Lithuania,LTU,2023,0.812,Europe,2023,2023
Luxembourg,LUX,2023,0.838,Europe,2023,2023
Madagascar,MDG,2023,0.319,Africa,2023,2023
Malawi,MWI,2023,0.365,Africa,2023,2023
Malaysia,MYS,2023,0.707,Asia,2023,2023
Maldives,MDV,2023,0.602,Asia,2023,2023
Mali,MLI,2023,0.281,Africa,2023,2023
Malta,MLT,2023,0.843,Europe,2023,2023
Marshall Islands,MHL,2023,0.626,Oceania,2023,2023
Mauritania,MRT,2023,0.374,Africa,2023,2023
Mauritius,MUS,2023,0.669,Africa,2023,2023
Mexico,MEX,2023,0.646,North America,2023,2023
Moldova,MDA,2023,0.719,Europe,2023,2023
Mongolia,MNG,2023,0.647,Asia,2023,2023
Montenegro,MNE,2023,0.771,Europe,2023,2023
Morocco,MAR,2023,0.517,Africa,2023,2023
Mozambique,MOZ,2023,0.297,Africa,2023,2023
Myanmar,MMR,2023,0.477,Asia,2023,2023
Namibia,NAM,2023,0.438,Africa,2023,2023
Nauru,NRU,2023,0.599,Oceania,2023,2023
Nepal,NPL,2023,0.437,Asia,2023,2023
Netherlands,NLD,2023,0.892,Europe,2023,2023
New Zealand,NZL,2023,0.853,Oceania,2023,2023
Nicaragua,NIC,2023,0.535,North America,2023,2023
Niger,NER,2023,0.265,Africa,2023,2023
Nigeria,NGA,2023,0.379,Africa,2023,2023
North Macedonia,MKD,2023,0.723,Europe,2023,2023
Norway,NOR,2023,0.909,Europe,2023,2023
Oman,OMN,2023,0.75,Asia,2023,2023
Pakistan,PAK,2023,0.364,Asia,2023,2023
Palau,PLW,2023,0.616,Oceania,2023,2023
Palestine,PSE,2023,0.538,Asia,2023,2023
Panama,PAN,2023,0.664,North America,2023,2023
Papua New Guinea,PNG,2023,0.423,Oceania,2023,2023
Paraguay,PRY,2023,0.599,South America,2023,2023
Peru,PER,2023,0.633,South America,2023,2023
Philippines,PHL,2023,0.597,Asia,2023,2023
Poland,POL,2023,0.817,Europe,2023,2023
Portugal,PRT,2023,0.795,Europe,2023,2023
Romania,ROU,2023,0.758,Europe,2023,2023
Russia,RUS,2023,0.758,Europe,2023,2023
Rwanda,RWA,2023,0.399,Africa,2023,2023
Saint Lucia,LCA,2023,0.523,North America,2023,2023
Samoa,WSM,2023,0.609,Oceania,2023,2023
Sao Tome and Principe,STP,2023,0.478,Africa,2023,2023
Senegal,SEN,2023,0.34,Africa,2023,2023
Serbia,SRB,2023,0.772,Europe,2023,2023
Seychelles,SYC,2023,0.755,Africa,2023,2023
Sierra Leone,SLE,2023,0.281,Africa,2023,2023
Singapore,SGP,2023,0.823,Asia,2023,2023
Slovakia,SVK,2023,0.833,Europe,2023,2023
Slovenia,SVN,2023,0.885,Europe,2023,2023
Solomon Islands,SLB,2023,0.483,Oceania,2023,2023
Somalia,SOM,2023,0.229,Africa,2023,2023
South Africa,ZAF,2023,0.476,Africa,2023,2023
South Korea,KOR,2023,0.857,Asia,2023,2023
South Sudan,SSD,2023,0.226,Africa,2023,2023
Spain,ESP,2023,0.819,Europe,2023,2023
Sri Lanka,LKA,2023,0.63,Asia,2023,2023
Sudan,SDN,2023,0.328,Africa,2023,2023
Sweden,SWE,2023,0.886,Europe,2023,2023
Switzerland,CHE,2023,0.894,Europe,2023,2023
Syria,,,,,,2023
Tajikistan,TJK,2023,0.594,Asia,2023,2023
Tanzania,TZA,2023,0.391,Africa,2023,2023
Thailand,THA,2023,0.677,Asia,2023,2023
Togo,TGO,2023,0.363,Africa,2023,2023
Tonga,TON,2023,0.682,Oceania,2023,2023
Tunisia,TUN,2023,0.595,Africa,2023,2023
Turkey,TUR,2023,0.708,Asia,2023,2023
Tuvalu,TUV,2023,0.578,Oceania,2023,2023
Uganda,UGA,2023,0.4,Africa,2023,2023
Ukraine,UKR,2023,0.715,Europe,2023,2023
United Arab Emirates,ARE,2023,0.866,Asia,2023,2023
United Kingdom,GBR,2023,0.869,Europe,2023,2023
United States,USA,2023,0.832,North America,2023,2023
Uruguay,URY,2023,0.747,South America,2023,2023
Vanuatu,VUT,2023,0.521,Oceania,2023,2023
