Entity,Code,Year,"GDP per capita, PPP (constant 2021 international $)",World regions according to OWID,time
Argentina,ARG,1990,17007.285,South America,2023
Argentina,ARG,1991,18295.61,South America,2023
Argentina,ARG,1992,19476.283,South America,2023
Argentina,ARG,1993,20791.346,South America,2023
Argentina,ARG,1994,21711.844,South America,2023
Argentina,ARG,1995,20819.5,South America,2023
Argentina,ARG,1996,21695.596,South America,2023
Argentina,ARG,1997,23172.158,South America,2023
Argentina,ARG,1998,23783.102,South America,2023
Argentina,ARG,1999,22714.512,South America,2023
Argentina,ARG,2000,22281.38,South America,2023
Argentina,ARG,2001,21066.459,South America,2023
Argentina,ARG,2002,18571.701,South America,2023
Argentina,ARG,2003,20005.139,South America,2023
Argentina,ARG,2004,21591.45,South America,2023
Argentina,ARG,2005,23262.408,South America,2023
Argentina,ARG,2006,24877.25,South America,2023
Argentina,ARG,2007,26850.664,South America,2023
Argentina,ARG,2008,27658.484,South America,2023
Argentina,ARG,2009,25747.197,South America,2023
Argentina,ARG,2010,28056.258,South America,2023
Argentina,ARG,2011,29425.76,South America,2023
Argentina,ARG,2012,28825.967,South America,2023
Argentina,ARG,2013,29227.66,South America,2023
Argentina,ARG,2014,28200.814,South America,2023
Argentina,ARG,2015,28669.207,South America,2023
Argentina,ARG,2016,27802.105,South America,2023
Argentina,ARG,2017,28334.904,South America,2023
Argentina,ARG,2018,27367.115,South America,2023
Argentina,ARG,2019,26629.553,South America,2023
Argentina,ARG,2020,23877.094,South America,2023
Argentina,ARG,2021,26300.273,South America,2023
Argentina,ARG,2022,27627.963,South America,2023
Argentina,ARG,2023,27104.98,South America,2023
Brazil,BRA,1990,12633.288,South America,2023
Brazil,BRA,1991,12546.561,South America,2023
Brazil,BRA,1992,12271.979,South America,2023
Brazil,BRA,1993,12669.429,South America,2023
Brazil,BRA,1994,13202.931,South America,2023
Brazil,BRA,1995,13550.439,South America,2023
Brazil,BRA,1996,13641.63,South America,2023
Brazil,BRA,1997,13896.625,South America,2023
Brazil,BRA,1998,13737.703,South America,2023
Brazil,BRA,1999,13602.414,South America,2023
Brazil,BRA,2000,14005.348,South America,2023
Brazil,BRA,2001,14016.132,South America,2023
Brazil,BRA,2002,14265.905,South America,2023
Brazil,BRA,2003,14259.366,South America,2023
Brazil,BRA,2004,14911.261,South America,2023
Brazil,BRA,2005,15221.014,South America,2023
Brazil,BRA,2006,15657.4795,South America,2023
Brazil,BRA,2007,16440.584,South America,2023
Brazil,BRA,2008,17113.367,South America,2023
