Entity,Code,Year,Learning-adjusted years of schooling,Population (historical),World regions according to WB
Afghanistan,AFG,2023,5.0528383,41454709,South Asia (WB)
Albania,ALB,2023,8.953018,2811615,Europe and Central Asia (WB)
Algeria,DZA,2023,7.0915527,46164169,Middle East and North Africa (WB)
Angola,AGO,2023,4.2349777,36749852,Sub-Saharan Africa (WB)
Antigua and Barbuda,ATG,2023,8.444422,93293,Latin America and Caribbean (WB)
Argentina,ARG,2023,8.41131,45538356,Latin America and Caribbean (WB)
Armenia,ARM,2023,7.994621,2943346,Europe and Central Asia (WB)
Australia,AUS,2023,11.222505,26451074,East Asia and Pacific (WB)
Austria,AUT,2023,10.906205,9130386,Europe and Central Asia (WB)
Azerbaijan,AZE,2023,8.281513,10318161,Europe and Central Asia (WB)
Bahrain,BHR,2023,9.286839,1569625,Middle East and North Africa (WB)
Bangladesh,BGD,2023,5.989421,171466945,South Asia (WB)
Belarus,BLR,2023,10.784273,9115626,Europe and Central Asia (WB)
Belgium,BEL,2023,11.183289,11712836,Europe and Central Asia (WB)
Benin,BEN,2023,5.6664166,14110987,Sub-Saharan Africa (WB)
Bhutan,BTN,2023,6.3267903,786330,South Asia (WB)
Bosnia and Herzegovina,BIH,2023,7.801883,3185033,Europe and Central Asia (WB)
Botswana,BWA,2023,5.0830455,2480185,Sub-Saharan Africa (WB)
Brazil,BRA,2023,7.8728395,211140678,Latin America and Caribbean (WB)
Brunei,BRN,2023,9.218924,458910,East Asia and Pacific (WB)
Bulgaria,BGR,2023,8.687309,6795757,Europe and Central Asia (WB)
Burkina Faso,BFA,2023,4.5330615,23025738,Sub-Saharan Africa (WB)
Burundi,BDI,2023,5.1646743,13689406,Sub-Saharan Africa (WB)
Cambodia,KHM,2023,6.8439803,17423835,East Asia and Pacific (WB)
Cameroon,CMR,2023,5.2868743,28372638,Sub-Saharan Africa (WB)
Canada,CAN,2023,11.724046,39299053,North America (WB)
Central African Republic,CAF,2023,2.6961548,5152373,Sub-Saharan Africa (WB)
Chad,TCD,2023,2.830429,19319025,Sub-Saharan Africa (WB)
Chile,CHL,2023,9.40743,19658791,Latin America and Caribbean (WB)
China,CHN,2023,9.270027,1422584878,East Asia and Pacific (WB)
Colombia,COL,2023,8.622162,52321104,Latin America and Caribbean (WB)
Comoros,COM,2023,5.12939,850335,Sub-Saharan Africa (WB)
Congo,COG,2023,5.2851167,6182830,Sub-Saharan Africa (WB)
Costa Rica,CRI,2023,8.993311,5105469,Latin America and Caribbean (WB)
Cote d'Ivoire,CIV,2023,4.811591,31165592,Sub-Saharan Africa (WB)
Croatia,HRV,2023,10.446162,3895973,Europe and Central Asia (WB)
Cyprus,CYP,2023,10.91709,1344937,Europe and Central Asia (WB)
Czechia,CZE,2023,11.116524,10809674,Europe and Central Asia (WB)
Democratic Republic of Congo,COD,2023,4.5322757,105789681,Sub-Saharan Africa (WB)
Denmark,DNK,2023,11.098828,5948078,Europe and Central Asia (WB)
Dominica,DMA,2023,8.008872,66478,Latin America and Caribbean (WB)
Dominican Republic,DOM,2023,6.558533,11331213,Latin America and Caribbean (WB)
East Timor,TLS,2023,6.292721,1384234,East Asia and Pacific (WB)
Ecuador,ECU,2023,8.69649,17980034,Latin America and Caribbean (WB)
Egypt,EGY,2023,6.5293627,114535724,Middle East and North Africa (WB)
El Salvador,SLV,2023,7.6372886,6309575,Latin America and Caribbean (WB)
Estonia,EST,2023,11.719313,1367143,Europe and Central Asia (WB)
Eswatini,SWZ,2023,4.5254297,1230457,Sub-Saharan Africa (WB)
Ethiopia,ETH,2023,4.3491125,128691654,Sub-Saharan Africa (WB)
Fiji,FJI,2023,6.951136,924114,East Asia and Pacific (WB)
Finland,FIN,2023,11.738752,5601133,Europe and Central Asia (WB)
France,FRA,2023,11.2687235,66438774,Europe and Central Asia (WB)
Gabon,GAB,2023,6.024927,2484739,Sub-Saharan Africa (WB)
Gambia,GMB,2023,5.3754196,2697797,Sub-Saharan Africa (WB)
Georgia,GEO,2023,8.273992,3807436,Europe and Central Asia (WB)
Germany,DEU,2023,11.03309,84548184,Europe and Central Asia (WB)
Ghana,GHA,2023,5.9587283,33787870,Sub-Saharan Africa (WB)
Greece,GRC,2023,9.964251,10242850,Europe and Central Asia (WB)
Grenada,GRD,2023,8.273588,117047,Latin America and Caribbean (WB)
Guatemala,GTM,2023,6.29769,18124791,Latin America and Caribbean (WB)
Guinea,GIN,2023,4.56822,14405424,Sub-Saharan Africa (WB)
Guyana,GUY,2023,6.7632494,826310,Latin America and Caribbean (WB)
Haiti,HTI,2023,6.1498604,11637352,Latin America and Caribbean (WB)
Honduras,HND,2023,6.133804,10644802,Latin America and Caribbean (WB)
Hong Kong,HKG,2023,11.886783,7442686,East Asia and Pacific (WB)
Hungary,HUN,2023,10.271568,9686418,Europe and Central Asia (WB)
Iceland,ISL,2023,10.718311,387522,Europe and Central Asia (WB)
India,IND,2023,7.1021705,1438069540,South Asia (WB)
Indonesia,IDN,2023,7.8277683,281190021,East Asia and Pacific (WB)
Iran,IRN,2023,8.192462,90608663,Middle East and North Africa (WB)
Iraq,IRQ,2023,4.0308604,45074010,Middle East and North Africa (WB)
Ireland,IRL,2023,11.594797,5196586,Europe and Central Asia (WB)
Israel,ISR,2023,10.586509,9256261,Middle East and North Africa (WB)
Italy,ITA,2023,10.451879,59499408,Europe and Central Asia (WB)
Jamaica,JAM,2023,7.057986,2839729,Latin America and Caribbean (WB)
Japan,JPN,2023,11.735149,124370893,East Asia and Pacific (WB)
Jordan,JOR,2023,7.6661263,11439171,Middle East and North Africa (WB)
Kazakhstan,KAZ,2023,9.127437,20330063,Europe and Central Asia (WB)
Kenya,KEN,2023,8.469239,55338953,Sub-Saharan Africa (WB)
