Entity,Code,Year,"Unemployment, total (% of total labor force) (modeled ILO estimate)"
Argentina,ARG,1991,5.44
Argentina,ARG,1992,6.36
Argentina,ARG,1993,10.1
Argentina,ARG,1994,11.76
Argentina,ARG,1995,18.8
Argentina,ARG,1996,17.11
Argentina,ARG,1997,14.82
Argentina,ARG,1998,12.65
Argentina,ARG,1999,14.05
Argentina,ARG,2000,15
Argentina,ARG,2001,17.32
Argentina,ARG,2002,19.59
Argentina,ARG,2003,15.36
Argentina,ARG,2004,13.522
Argentina,ARG,2005,11.506
Argentina,ARG,2006,10.078
Argentina,ARG,2007,8.47
Argentina,ARG,2008,7.837
Argentina,ARG,2009,8.645
Argentina,ARG,2010,7.714
Argentina,ARG,2011,7.18
Argentina,ARG,2012,7.217
Argentina,ARG,2013,7.1
Argentina,ARG,2014,7.268
Argentina,ARG,2015,7.58
Argentina,ARG,2016,8.083
Argentina,ARG,2017,8.347
Argentina,ARG,2018,9.221
Argentina,ARG,2019,9.843
Argentina,ARG,2020,11.461
Argentina,ARG,2021,8.736
Argentina,ARG,2022,6.805
Argentina,ARG,2023,6.178
Brazil,BRA,1991,6.896
Brazil,BRA,1992,7.086
Brazil,BRA,1993,6.03
Brazil,BRA,1994,6.578
Brazil,BRA,1995,7.092
Brazil,BRA,1996,8.035
Brazil,BRA,1997,9.003
Brazil,BRA,1998,10.15
Brazil,BRA,1999,11.125
Brazil,BRA,2000,10.892
Brazil,BRA,2001,10.649
Brazil,BRA,2002,10.641
Brazil,BRA,2003,11.169
Brazil,BRA,2004,10.072
Brazil,BRA,2005,10.551
Brazil,BRA,2006,9.692
Brazil,BRA,2007,9.28
Brazil,BRA,2008,8.268
Brazil,BRA,2009,9.419
Brazil,BRA,2010,8.424
Brazil,BRA,2011,7.578
Brazil,BRA,2012,7.251
Brazil,BRA,2013,7.071
Brazil,BRA,2014,6.755
Brazil,BRA,2015,8.538
Brazil,BRA,2016,11.58
Brazil,BRA,2017,12.792
Brazil,BRA,2018,12.33
Brazil,BRA,2019,11.936
Brazil,BRA,2020,13.697
Brazil,BRA,2021,13.159
Brazil,BRA,2022,9.231
Brazil,BRA,2023,7.95
Chile,CHL,1991,5.23
Chile,CHL,1992,4.35
Chile,CHL,1993,4.49
Chile,CHL,1994,5.87
Chile,CHL,1995,4.7
Chile,CHL,1996,7.414
Chile,CHL,1997,7.136
Chile,CHL,1998,7.307
Chile,CHL,1999,11.158
Chile,CHL,2000,10.491
Chile,CHL,2001,10.39
Chile,CHL,2002,10.168
Chile,CHL,2003,9.765
Chile,CHL,2004,10.162
Chile,CHL,2005,9.34
Chile,CHL,2006,9.024
Chile,CHL,2007,8.427
Chile,CHL,2008,9.285
Chile,CHL,2009,11.313
Chile,CHL,2010,8.547
Chile,CHL,2011,7.492
Chile,CHL,2012,6.79
Chile,CHL,2013,6.361
Chile,CHL,2014,6.761
Chile,CHL,2015,6.605
Chile,CHL,2016,6.926
Chile,CHL,2017,7.29
